"id","state","year","count","rate"
"01","Alabama",1999,13419,303
"01","Alabama",2000,13406,299.5
"01","Alabama",2001,13207,292.7
"01","Alabama",2002,13197,291.3
"01","Alabama",2003,13150,288.5
"01","Alabama",2004,12774,278.1
"01","Alabama",2005,12869,274.5
"01","Alabama",2006,12583,263
"01","Alabama",2007,11926,245
"01","Alabama",2008,12074,243.3
"01","Alabama",2009,12021,238
"01","Alabama",2010,12083,236
"01","Alabama",2011,11942,228.7
"01","Alabama",2012,12036,225.1
"01","Alabama",2013,12472,228.4
"01","Alabama",2014,12461,224
"01","Alabama",2015,12981,229.7
"02","Alaska",1999,563,198
"02","Alaska",2000,607,211.7
"02","Alaska",2001,603,189.1
"02","Alaska",2002,567,169.3
"02","Alaska",2003,626,185.5
"02","Alaska",2004,589,160.1
"02","Alaska",2005,627,166.1
"02","Alaska",2006,645,170.6
"02","Alaska",2007,613,154.2
"02","Alaska",2008,634,150.1
"02","Alaska",2009,714,158.9
"02","Alaska",2010,707,151.5
"02","Alaska",2011,739,149.6
"02","Alaska",2012,708,136.5
"02","Alaska",2013,706,135
"02","Alaska",2014,782,146.6
"02","Alaska",2015,846,154.1
"04","Arizona",1999,10800,223.1
"04","Arizona",2000,10584,214
"04","Arizona",2001,10588,207.3
"04","Arizona",2002,10852,207.9
"04","Arizona",2003,10887,202.2
"04","Arizona",2004,10539,190
"04","Arizona",2005,10966,189.8
"04","Arizona",2006,10607,176.5
"04","Arizona",2007,10302,166
"04","Arizona",2008,10385,162.3
"04","Arizona",2009,10273,155.7
"04","Arizona",2010,9954,146.7
"04","Arizona",2011,10662,150.3
"04","Arizona",2012,10689,145.5
"04","Arizona",2013,10755,141.1
"04","Arizona",2014,10805,136.4
"04","Arizona",2015,11458,138.8
"05","Arkansas",1999,8315,287.8
"05","Arkansas",2000,8278,283.8
"05","Arkansas",2001,8263,281.8
"05","Arkansas",2002,8330,282.8
"05","Arkansas",2003,7786,262.5
"05","Arkansas",2004,7534,252.1
"05","Arkansas",2005,7575,250.3
"05","Arkansas",2006,7431,240.5
"05","Arkansas",2007,7214,230.1
"05","Arkansas",2008,7516,236.1
"05","Arkansas",2009,7295,226.1
"05","Arkansas",2010,7274,222.5
"05","Arkansas",2011,7168,213.8
"05","Arkansas",2012,7407,218.6
"05","Arkansas",2013,7377,214.1
"05","Arkansas",2014,7581,217.5
"05","Arkansas",2015,7938,223.2
"06","California",1999,71930,257.3
"06","California",2000,68426,239.9
"06","California",2001,68234,233.6
"06","California",2002,68797,230.4
"06","California",2003,68864,225.1
"06","California",2004,64999,209
"06","California",2005,64916,203
"06","California",2006,64871,198.8
"06","California",2007,61690,183.9
"06","California",2008,60709,176.2
"06","California",2009,59206,166.9
"06","California",2010,58641,161.9
"06","California",2011,59772,159
"06","California",2012,59371,153.3
"06","California",2013,60299,151.8
"06","California",2014,58189,142.2
"06","California",2015,61289,145.6
"08","Colorado",1999,6420,196.3
"08","Colorado",2000,6184,185.3
"08","Colorado",2001,6293,183.3
"08","Colorado",2002,6425,182.7
"08","Colorado",2003,6499,180.3
"08","Colorado",2004,6079,163.6
"08","Colorado",2005,6307,164.8
"08","Colorado",2006,6124,152.7
"08","Colorado",2007,6106,147
"08","Colorado",2008,6118,142.5
"08","Colorado",2009,6093,136.5
"08","Colorado",2010,6038,132.8
"08","Colorado",2011,6177,129.8
"08","Colorado",2012,6311,127.3
"08","Colorado",2013,6456,125.7
"08","Colorado",2014,6900,130.3
"08","Colorado",2015,7009,128.4
"09","Connecticut",1999,9127,238.8
"09","Connecticut",2000,8993,232.7
"09","Connecticut",2001,8582,218
"09","Connecticut",2002,8815,219.3
"09","Connecticut",2003,8389,204.1
"09","Connecticut",2004,7868,189.5
"09","Connecticut",2005,7650,180.7
"09","Connecticut",2006,7490,174.7
"09","Connecticut",2007,7289,167.4
"09","Connecticut",2008,7355,165.6
"09","Connecticut",2009,7105,157.7
"09","Connecticut",2010,7127,155.7
"09","Connecticut",2011,7206,155.2
"09","Connecticut",2012,7282,155.3
"09","Connecticut",2013,7090,148.9
"09","Connecticut",2014,7018,145.6
"09","Connecticut",2015,7205,147.8
"10","Delaware",1999,2011,269.2
"10","Delaware",2000,1983,262.5
"10","Delaware",2001,2033,261.2
"10","Delaware",2002,1918,239.9
"10","Delaware",2003,2027,247.2
"10","Delaware",2004,2015,238.1
"10","Delaware",2005,2031,232.3
"10","Delaware",2006,1866,206
"10","Delaware",2007,1914,205.1
